time,o,h,l,c,volume,complete,returns
2021-08-20 06:00:00+00:00,1.16872,1.16876,1.1684,1.1685,138,True,
2021-08-20 06:01:00+00:00,1.1685,1.1686,1.16839,1.1684,52,True,-8.558346532677453e-05
2021-08-20 06:02:00+00:00,1.16838,1.16858,1.16838,1.16852,87,True,0.00010269927948359488
2021-08-20 06:03:00+00:00,1.16854,1.16868,1.16854,1.16865,35,True,0.00011124565190721646
2021-08-20 06:04:00+00:00,1.16864,1.1687,1.16856,1.16866,62,True,8.556845262496488e-06
2021-08-20 06:05:00+00:00,1.16864,1.16872,1.16856,1.16856,84,True,-8.557174768405807e-05
2021-08-20 06:06:00+00:00,1.16854,1.16854,1.16831,1.16833,109,True,-0.0001968428130913662
2021-08-20 06:07:00+00:00,1.16834,1.1685,1.1683,1.16846,67,True,0.00011126374225674317
2021-08-20 06:08:00+00:00,1.16847,1.16856,1.16845,1.16851,66,True,4.279045088942801e-05
2021-08-20 06:09:00+00:00,1.16852,1.1686,1.1685,1.16853,73,True,1.7115667682767207e-05
2021-08-20 06:10:00+00:00,1.16854,1.16854,1.16842,1.16845,34,True,-6.846442847717842e-05
2021-08-20 06:11:00+00:00,1.16846,1.16848,1.16832,1.16833,48,True,-0.00010270543235171956
2021-08-20 06:12:00+00:00,1.16832,1.16842,1.16832,1.16841,32,True,6.847146026610415e-05
2021-08-20 06:13:00+00:00,1.16839,1.16856,1.16839,1.16856,55,True,0.00012837135282530284
2021-08-20 06:14:00+00:00,1.16854,1.16871,1.16854,1.16854,75,True,-1.71152282749211e-05
2021-08-20 06:15:00+00:00,1.16855,1.1686,1.1685,1.16852,36,True,-1.71155212107255e-05
2021-08-20 06:16:00+00:00,1.1685,1.1685,1.16841,1.16845,68,True,-5.990663125407223e-05
2021-08-20 06:17:00+00:00,1.16844,1.16856,1.16839,1.16856,62,True,9.413738073962749e-05
2021-08-20 06:18:00+00:00,1.16854,1.16854,1.16833,1.16834,56,True,-0.00018828362416020608
2021-08-20 06:19:00+00:00,1.16833,1.16842,1.1683,1.16842,70,True,6.847087422860132e-05
2021-08-20 06:20:00+00:00,1.16842,1.1685,1.16837,1.1685,57,True,6.846618628914212e-05
2021-08-20 06:21:00+00:00,1.16848,1.16848,1.16834,1.16834,59,True,-0.00013693706051777474
